File: atenet
Build ID: 00740c3aa021dcb98075730589b1f0d33281a3f1
Type: cpu
Time: 2026-09-17 15:51:10 UTC
Duration: 30s, Total samples = 19.70s (65.66%)
Showing nodes accounting for 12.05s, 61.17% of 19.70s total
Dropped 794 nodes (cum <= 0.10s)
      flat  flat%   sum%        cum   cum%
         0     0% 47.11%      0.27s  1.37%  runtime.(*mcache).refill
     0.03s  0.15% 47.26%      0.26s  1.32%  github.com/agent-substrate/substrate/cmd/atenet/internal/router/extproc.(*Server).recordRouteDuration
         0     0% 47.26%      0.26s  1.32%  go.opentelemetry.io/otel/sdk/metric.(*float64Inst).Record
     0.01s 0.051% 47.31%      0.26s  1.32%  golang.org/x/net/http2/hpack.(*Decoder).Write
         0     0% 47.31%      0.26s  1.32%  google.golang.org/grpc/internal/transport.(*loopyWriter).serverHeaderHandler
     0.13s  0.66% 47.97%      0.26s  1.32%  runtime.mallocgcSmallScanNoHeaderSC5
         0     0% 47.97%      0.25s  1.27%  go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc.(*serverHandler).HandleRPC
         0     0% 47.97%      0.25s  1.27%  golang.org/x/net/http2/hpack.(*Decoder).parseHeaderFieldRepr
         0     0% 47.97%      0.25s  1.27%  google.golang.org/grpc/internal/transport.(*ServerStream).Write (inline)
         0     0% 47.97%      0.25s  1.27%  google.golang.org/grpc/internal/transport.(*http2Server).write
         0     0% 47.97%      0.25s  1.27%  google.golang.org/protobuf/internal/impl.encoderFuncsForMap.func3
         0     0% 47.97%      0.25s  1.27%  runtime.funcspdelta (inline)
         0     0% 47.97%      0.25s  1.27%  runtime.pcdatavalue
         0     0% 47.97%      0.24s  1.22%  go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc.(*clientHandler).TagRPC
         0     0% 47.97%      0.24s  1.22%  google.golang.org/grpc.newClientStreamWithParams.func2
     0.04s   0.2% 48.17%      0.24s  1.22%  google.golang.org/grpc/internal/transport.(*controlBuffer).get
         0     0% 48.17%      0.24s  1.22%  runtime.entersyscallWakeSysmon
     0.04s   0.2% 48.38%      0.24s  1.22%  runtime.scanSpan
     0.02s   0.1% 48.48%      0.24s  1.22%  runtime.stopm
         0     0% 48.48%      0.23s  1.17%  google.golang.org/grpc/internal/transport.(*transportReader).ReadMessageHeader
     0.01s 0.051% 48.53%      0.23s  1.17%  internal/runtime/maps.(*Map).growToSmall
         0     0% 48.53%      0.22s  1.12%  github.com/agent-substrate/substrate/cmd/atenet/internal/router/ingress.(*parkingLot).enter.func2
         0     0% 48.53%      0.22s  1.12%  google.golang.org/grpc.(*Server).processStreamingRPC.func1
         0     0% 48.53%      0.22s  1.12%  google.golang.org/grpc.(*csAttempt).newStream
         0     0% 48.53%      0.22s  1.12%  google.golang.org/grpc/internal/transport.(*http2Client).NewStream
         0     0% 48.53%      0.22s  1.12%  internal/runtime/maps.newGroups (inline)
         0     0% 48.53%      0.22s  1.12%  internal/runtime/maps.newarray
     0.03s  0.15% 48.68%      0.22s  1.12%  runtime.(*mcentral).cacheSpan
     0.02s   0.1% 48.78%      0.22s  1.12%  runtime.newarray
     0.01s 0.051% 48.83%      0.22s  1.12%  runtime.slicebytetostring
         0     0% 48.83%      0.22s  1.12%  sync.(*Once).Do (inline)
     0.01s 0.051% 48.88%      0.22s  1.12%  sync.(*Once).doSlow
     0.01s 0.051% 48.93%      0.21s  1.07%  github.com/agent-substrate/substrate/cmd/atenet/internal/router/ingress.(*parkingLot).enter.func2.1
     0.02s   0.1% 49.04%      0.21s  1.07%  go.opentelemetry.io/otel/sdk/metric.(*float64Inst).aggregate (inline)
         0     0% 49.04%      0.21s  1.07%  google.golang.org/grpc/internal/transport.(*http2Server).handleRSTStream
         0     0% 49.04%      0.21s  1.07%  google.golang.org/grpc/internal/transport.(*recvBufferReader).ReadMessageHeader
     0.01s 0.051% 49.09%      0.21s  1.07%  google.golang.org/protobuf/internal/impl.(*MessageInfo).initOneofFieldCoders.func4
         0     0% 49.09%      0.21s  1.07%  runtime.(*inlineUnwinder).resolveInternal (inline)
         0     0% 49.09%      0.21s  1.07%  runtime.pcdatavalue1
     0.01s 0.051% 49.14%      0.20s  1.02%  google.golang.org/grpc/internal/transport.(*http2Server).writeHeader
         0     0% 49.14%      0.20s  1.02%  google.golang.org/protobuf/internal/impl.consumeMapOfMessage
         0     0% 49.14%      0.20s  1.02%  google.golang.org/protobuf/internal/impl.encoderFuncsForMap.func2
         0     0% 49.14%      0.20s  1.02%  runtime.gcDrainMarkWorkerIdle (inline)
     0.04s   0.2% 49.34%      0.20s  1.02%  runtime.growslice
     0.01s 0.051% 49.39%      0.19s  0.96%  go.opentelemetry.io/otel/sdk/metric/internal/aggregate.Builder[go.shape.float64].filter.func2
     0.01s 0.051% 49.44%      0.19s  0.96%  google.golang.org/grpc/internal/transport.(*http2Server).writeHeaderLocked
         0     0% 49.44%      0.19s  0.96%  google.golang.org/protobuf/internal/impl.appendMap
     0.02s   0.1% 49.54%      0.19s  0.96%  google.golang.org/protobuf/types/known/structpb.NewStruct
     0.08s  0.41% 49.95%      0.19s  0.96%  runtime.scanObject
     0.09s  0.46% 50.41%      0.18s  0.91%  go.opentelemetry.io/otel/sdk/metric/internal/aggregate.(*cumulativeHistogram[go.shape.float64]).measure
         0     0% 50.41%      0.18s  0.91%  golang.org/x/net/http2/hpack.(*Encoder).WriteField
     0.02s   0.1% 50.51%      0.18s  0.91%  google.golang.org/grpc/internal/transport.(*recvBufferReader).readMessageHeader
     0.01s 0.051% 50.56%      0.18s  0.91%  google.golang.org/protobuf/internal/impl.consumeMessageSliceInfo
     0.01s 0.051% 50.61%      0.18s  0.91%  runtime.closechan
         0     0% 50.61%      0.18s  0.91%  runtime.goschedImpl
         0     0% 50.61%      0.18s  0.91%  runtime.gosched_m
     0.04s   0.2% 50.81%      0.18s  0.91%  runtime.mapaccess2
         0     0% 50.81%      0.17s  0.86%  go.opentelemetry.io/otel/metric.WithAttributes
     0.01s 0.051% 50.86%      0.17s  0.86%  google.golang.org/grpc/internal/transport.(*http2Server).closeStream
     0.01s 0.051% 50.91%      0.17s  0.86%  google.golang.org/grpc/metadata.FromIncomingContext
     0.03s  0.15% 51.07%      0.17s  0.86%  runtime.mapaccess2_faststr
     0.06s   0.3% 51.37%      0.17s  0.86%  sync.(*Pool).Get
     0.01s 0.051% 51.42%      0.15s  0.76%  github.com/agent-substrate/substrate/cmd/atenet/internal/router/ingress.(*ParkingMetrics).addActive (inline)
         0     0% 51.42%      0.15s  0.76%  google.golang.org/protobuf/internal/impl.appendMapItem
     0.07s  0.36% 51.78%      0.15s  0.76%  reflect.(*rtype).ptrTo
     0.01s 0.051% 51.83%      0.15s  0.76%  reflect.New
     0.09s  0.46% 52.28%      0.15s  0.76%  runtime.mallocgcSmallScanNoHeaderSC7
         0     0% 52.28%      0.15s  0.76%  runtime.mapaccess1
         0     0% 52.28%      0.15s  0.76%  runtime.newInlineUnwinder
     0.05s  0.25% 52.54%      0.15s  0.76%  runtime.tryDeferToSpanScan
     0.02s   0.1% 52.64%      0.14s  0.71%  context.(*valueCtx).Value
         0     0% 52.64%      0.14s  0.71%  fmt.Sprintf
         0     0% 52.64%      0.14s  0.71%  github.com/agent-substrate/substrate/cmd/atenet/internal/router/ingress.parseActorRef
